Answers,Skill Level
"['c', 'c', 'c', 'c', 'c', 'c', 'a', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'a', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'a', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'a']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['b', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'b', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'b', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'b', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'b', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'b', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'b', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'b', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'b', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'b']",beginner
